question,answer
What is the total injury associated with [AccidentNumber_FTW03LA034]?,3 None
What is the Flight Crew associated with [AccidentNumber_ATL92LA171]?,PILOT_IN_COMMAND
What is the third event associated with [AccidentNumber_MIA99GA072]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the first event associated with [AccidentNumber_NYC89LA207]?,IN_FLIGHT_ENCOUNTER_WITH_WEATHER_-_LOW_CEILING
What [instrument rating] does [Pilot_DEN04FA043] have?,Airplane
What is the second event associated with [AccidentNumber_DEN85FA055]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the second event associated with [AccidentNumber_LAX05LA025]?,FORCED_LANDING
What is the crew injury associated with [AccidentNumber_NYC02LA023]?,2 None
What is the second event associated with [AccidentNumber_ATL95LA032]?,FORCED_LANDING
What certificate does [Pilot_CHI02LA018] have?,Commercial
What is the Flight Crew associated with [AccidentNumber_ANC00LA040]?,PILOT_IN_COMMAND
What is the runway surface type associated with [AccidentNumber_SEA04LA024]?,___Unknown___RunwaySurfaceType
What was the result of the last inspection for [Registration_N405PC]?,Continuous Airworthiness
What airspace is associated with [AccidentNumber_LAX02LA123]?,ClassE
What is the runway surface type associated with [AccidentNumber_DFW05LA027]?,___Unknown___RunwaySurfaceType
What is the landing gear associated with [Registration_N9794M]?,Tricycle
What caused [AccidentNumber_SEA04LA063B]?,CLEARANCE
What caused [AccidentNumber_LAX92LA133]?,FLIGHTPLANNING/DECISION|ALTITUDE|REMEDIALACTION|WEATHERCONDITION
What is the third event associated with [AccidentNumber_FTW95LA275]?,HARD_LANDING
What is the third event associated with [AccidentNumber_ATL89LA002]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S)
What is the second event associated with [AccidentNumber_ANC93LA001]?,FORCED_LANDING
What are the conditions at the accident site associated with [AccidentNumber_IAD02LA080]?,Visual Conditions
What is the crew injury associated with [AccidentNumber_NYC04FA136]?,1 Fatal
What is the runway surface type associated with [AccidentNumber_LAX04LA111]?,___Unknown___RunwaySurfaceType
What is the engine manufacturer associated with [Registration_N737SH]?,Lycoming
What airspace is associated with [AccidentNumber_CHI01LA057]?,ClassE
What caused [AccidentNumber_SEA92LA087]?,FUELSUPPLY|TERRAINCONDITION|OPERATIONWITHKNOWNDEFICIENCIESINEQUIPMENT|AIRCRAFTCONTROL|FLIGHTPLANNING/DECISION|LIGHTCONDITION
What is the crew injury associated with [AccidentNumber_DEN01LA100]?,1 None
What is the third event associated with [AccidentNumber_NYC89FA206]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What certificate does [Pilot_CHI02LA024] have?,Private
What is the landing gear associated with [Registration_N77UA]?,Retractable-Tricycle
What caused [AccidentNumber_LAX83FA314]?,WEATHERCONDITION|TERRAINCONDITION|VFRFLIGHTINTOIMC|PREFLIGHTBRIEFINGSERVICE
What medical certification does [Pilot_ANC01LA079] have?,Class 3 Valid Medical--w/ waivers/lim.
What is the second event associated with [AccidentNumber_MIA89MA023]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What environmental issue caused [AccidentNumber_SEA04LA001]?,___Unknown___EnvironmentalIssue
What is the runway surface type associated with [AccidentNumber_SEA03LA035]?,Asphalt
What is the aircraft issue that caused [AccidentNumber_LAX05LA155]?,___Unknown___AircraftIssue
What is the first event associated with [AccidentNumber_FTW98FA384]?,"IN_FLIGHT_COLLISION_WITH_OBJECT_-_WIRE,STATIC"
What is the third event associated with [AccidentNumber_MIA92FA173]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S)
What is the landing gear associated with [Registration_N5284C]?,Retractable-Tricycle
What is the second event associated with [AccidentNumber_CHI03LA143]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What is the second event associated with [AccidentNumber_DEN06LA045]?,FORCED_LANDING
What certificate does [Pilot_CHI03LA243] have?,Commercial
What is the Flight Crew associated with [AccidentNumber_CHI83LA074]?,PILOT_IN_COMMAND
What is the second event associated with [AccidentNumber_CHI86FEC02]?,FORCED_LANDING
What caused [AccidentNumber_NYC92LA137]?,FLIGHTCONTROLS|LACKOFFAMILIARITYWITHAIRCRAFT|SUPERVISION
What is the Flight Crew associated with [AccidentNumber_MIA99GA072]?,PILOT_IN_COMMAND
What is the Federal Aviation Regulation associated with [AccidentNumber_FTW03LA200]?,Part91GeneralAviation-Personal
What caused [AccidentNumber_SEA91LA029]?,CARBURETORHEAT|TERRAINCONDITION
What is the runway surface condition associated with [AccidentNumber_FTW04LA229]?,Dry
What is the aircraft damage associated with [AccidentNumber_LAX02FA038]?,Destroyed
What is the restraint used associated with [Pilot_MIA03TA036]?,"Seatbelt, Shoulder harness"
What is the airplane rating associated with [Pilot_ANC04LA018]?,Multi-engineLand;Single-engineLand
What is the fourth event associated with [AccidentNumber_FTW04FA052]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_RESIDENCE
What engine is associated with [Registration_N4033G]?,1TurboProp
What environmental issue caused [AccidentNumber_ANC01LA079]?,___Unknown___EnvironmentalIssue
In which country did [AccidentNumber_ATL01LA029] occur?,FL
What is the landing gear associated with [Registration_N8018J]?,Retractable-Tricycle
What is the Flight Crew associated with [AccidentNumber_MIA94LA129]?,PILOT_IN_COMMAND
What airworthiness certificate does [Registration_N185CF] have?,Normal
What is the landing gear associated with [Registration_N65021]?,Tricycle
What caused [AccidentNumber_SEA03LA035]?,FLARE|TERRAINCONDITION
What environmental issue caused [AccidentNumber_IAD05LA030]?,___Unknown___EnvironmentalIssue
What airspace is associated with [AccidentNumber_IAD05LA022]?,AirportInformation
What does [Registration_N123JL] have in terms of an emergency locator transmitter?,"Installed, activated, did not aid in locating accident"
What is the third event associated with [AccidentNumber_FTW90LA049]?,FORCED_LANDING
What is the aircraft issue that caused [AccidentNumber_FTW02LA029]?,___Unknown___AircraftIssue
What is the aircraft damage associated with [AccidentNumber_LAX04LA199]?,Substantial
What is the second event associated with [AccidentNumber_DFW06CA149]?,FORCED_LANDING
What does [Registration_N23108] have in terms of an emergency locator transmitter?,"Installed, not activated"
What engine is associated with [Registration_N41977]?,1Reciprocating
What caused [AccidentNumber_FTW84LA155B]?,JUDGMENT|LACKOFTOTALEXPERIENCEINTYPEOPERATION|CLEARANCE|LACKOFTOTALEXPERIENCE
What is the first event associated with [AccidentNumber_DEN86LA017]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_MECH_FAILURE/MALF
What [instrument rating] does [Pilot_ATL05CA123] have?,Airplane
What medical certification does [Pilot_FTW03LA002] have?,Class 2 Valid Medical--no waivers/lim.
What is the first event associated with [AccidentNumber_LAX00LA086]?,LOSS_OF_ENGINE_POWER(PARTIAL)_-_NONMECHANICAL
What is the crew injury associated with [AccidentNumber_CHI01LA078]?,1 None
What is the lowest ceiling associated with [AccidentNumber_SEA04LA093]?,___Unknown___LowestCeiling
What environmental issue caused [AccidentNumber_CHI01LA263]?,___Unknown___EnvironmentalIssue
What is the Flight Crew associated with [AccidentNumber_CHI96LA226]?,PILOT_IN_COMMAND(CFI)
What flight plan was filed for [AccidentNumber_LAX01LA083]?,Company VFR
What certificate does [Pilot_DFW05LA115] have?,AirlineTransport
What is the restraint used associated with [Pilot_FTW04LA053]?,"Seatbelt, Shoulder harness"
What caused [AccidentNumber_CHI01FA044]?,STALL/SPIN|REMEDIALACTION|SUPERVISION|AIRCRAFTCONTROL|OPERATIONWITHKNOWNDEFICIENCIESINEQUIPMENT
What caused [AccidentNumber_BFO95LA040]?,WEATHEREVALUATION|COMPENSATIONFORWINDCONDITIONS|WEATHERCONDITION
What is the first event associated with [AccidentNumber_BFO96LA001]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the third event associated with [AccidentNumber_NYC88LA071]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_FENCE
What is the first event associated with [AccidentNumber_LAX93LA089]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the first event associated with [AccidentNumber_DEN82DA100]?,LOSS_OF_ENGINE_POWER(PARTIAL)_-_NONMECHANICAL
What caused [AccidentNumber_LAX95LA070]?,FUELMANAGEMENT|FLUIDFUEL|FUELSUPPLY
What does [Registration_N21266] have in terms of an emergency locator transmitter?,"Installed, not activated"
What is the restraint used associated with [Pilot_NYC02LA002]?,Seatbelt
What is the second event associated with [AccidentNumber_CHI04CA172]?,GEAR_COLLAPSED
What is the second event associated with [AccidentNumber_ANC96LA027]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the Flight Crew associated with [AccidentNumber_DEN00FA082]?,PILOT_IN_COMMAND
